x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24615,3225,0.59,0,3.0,3441.6227535687412,-302988.75157639757
24255,24615,3235,0.52,0,3.0,-5871.695882794891,-308860.4474591925
24255,24615,3245,0.51,0,4.0,-6547.427248821799,-315407.8747080143
24255,24615,3255,0.51,0,4.0,-6547.427248821799,-321955.30195683613
24255,24615,3265,0.47,0,4.0,-11385.514852127595,-333340.8168089637
24255,24615,3275,0.48,0,4.0,-10175.992951301145,-343516.8097602649
24255,24615,3285,0.45,0,4.0,-13804.558653780477,-357321.36841404537
24255,24615,3295,0.45,0,4.0,-13804.558653780477,-371125.92706782586
24255,24615,3305,0.38,0,4.0,-22271.211959565604,-393397.13902739144
24255,24615,3315,0.37,0,5.0,-21346.121691265496,-414743.26071865694
24255,24615,3325,0.37,0,5.0,-21346.121691265496,-436089.38240992243
24255,24615,3335,0.35,0,5.0,-23545.25242004086,-459634.63482996327
24255,24615,3345,0.36,0,5.0,-22445.68705565318,-482080.32188561646
24255,24615,3355,0.36,0,5.0,-22445.68705565318,-504526.00894126965
24255,24615,3365,0.36,0,5.0,-22445.68705565318,-526971.6959969228
24255,24615,3375,0.38,0,5.0,-20246.55632687782,-547218.2523238006
24255,24615,3385,0.42,0,5.0,-15848.29486932711,-563066.5471931277
24255,24615,3395,0.39,0,5.0,-19146.990962490137,-582213.5381556178
24255,24615,3405,0.4,0,5.0,-18047.42559810246,-600260.9637537203
24255,24615,3415,0.39,0,5.0,-19146.990962490137,-619407.9547162104
24255,24625,3025,0.39,0,0.0,-30836.420415,-30836.420415
24255,24625,3035,0.39,0,0.0,-30836.420415,-61672.84083
24255,24625,3045,0.39,0,0.0,-30836.420415,-92509.261245
24255,24625,3055,0.41,0,0.0,-27294.698385000018,-119803.95963000003
24255,24625,3065,0.43,0,1.0,-21593.614868181823,-141397.57449818184
24255,24625,3075,0.45,0,1.0,-18373.867568181817,-159771.44206636367
24255,24625,3085,0.47,0,1.0,-15154.12026818183,-174925.5623345455
24255,24625,3095,0.47,0,1.0,-15154.12026818183,-190079.68260272735
24255,24625,3105,0.47,0,1.0,-15154.12026818183,-205233.8028709092
24255,24625,3115,0.47,0,2.0,-13776.47297107439,-219010.2758419836
24255,24625,3125,0.47,0,2.0,-13776.47297107439,-232786.748813058
24255,24625,3135,0.47,0,2.0,-13776.47297107439,-246563.2217841324
24255,24625,3145,0.46,0,2.0,-15239.99447107438,-261803.21625520676
24255,24625,3155,0.48,0,2.0,-12312.951471074386,-274116.16772628116
24255,24625,3165,0.48,0,2.0,-12312.951471074386,-286429.1191973555
24255,24625,3175,0.54,0,3.0,-3210.747700976715,-289639.86689833226
24255,24625,3185,0.54,0,3.0,-3210.747700976715,-292850.614599309
24255,24625,3195,0.52,0,3.0,-5871.695882794891,-298722.3104821039
24255,24625,3205,0.56,0,3.0,-549.7995191585239,-299272.11000126245
24255,24625,3215,0.6,0,3.0,4772.096844477844,-294500.0131567846
24255,24625,3225,0.58,0,3.0,2111.1486626596525,-292388.86449412495
24255,24625,3235,0.51,0,3.0,-7202.169973703979,-299591.0344678289
24255,24625,3245,0.5,0,4.0,-7756.949149648243,-307347.9836174772
24255,24625,3255,0.48,0,4.0,-10175.992951301145,-317523.97656877834
24255,24625,3265,0.46,0,4.0,-12595.036752954033,-330119.01332173235
24255,24625,3275,0.46,0,4.0,-12595.036752954033,-342714.05007468635
24255,24625,3285,0.43,0,4.0,-16223.602455433373,-358937.65253011975
24255,24625,3295,0.39,0,4.0,-21061.69005873915,-379999.3425888589
24255,24625,3305,0.37,0,4.0,-23480.733860392047,-403480.076449251
24255,24625,3315,0.37,0,5.0,-21346.121691265496,-424826.19814051647
24255,24625,3325,0.35,0,5.0,-23545.25242004086,-448371.4505605573
24255,24625,3335,0.36,0,5.0,-22445.68705565318,-470817.1376162105
24255,24625,3345,0.36,0,5.0,-22445.68705565318,-493262.8246718637
24255,24625,3355,0.36,0,5.0,-22445.68705565318,-515708.5117275169
24255,24625,3365,0.36,0,5.0,-22445.68705565318,-538154.1987831701
24255,24625,3375,0.38,0,5.0,-20246.55632687782,-558400.7551100479
24255,24625,3385,0.42,0,5.0,-15848.29486932711,-574249.049979375
24255,24625,3395,0.39,0,5.0,-19146.990962490137,-593396.0409418651
24255,24625,3405,0.39,0,5.0,-19146.990962490137,-612543.0319043552
24255,24625,3415,0.39,0,5.0,-19146.990962490137,-631690.0228668452
24255,24635,3025,0.42,0,0.0,-25523.837370000012,-25523.837370000012
24255,24635,3035,0.42,0,0.0,-25523.837370000012,-51047.674740000024
24255,24635,3045,0.43,0,0.0,-23752.976355000006,-74800.65109500004
24255,24635,3055,0.46,0,0.0,-18440.393310000003,-93241.04440500004
24255,24635,3065,0.51,0,1.0,-8714.625668181818,-101955.67007318186
